f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,labels
92.778,98.056,98.333,97.778,96.667,41.389,33.333,96.389,98.333,98.611,98.889,98.333,95,42.222,97.222,97.778,98.889,98.889,98.889,97.778,90.556,96.389,97.778,98.889,99.444,98.889,98.056,96.944,93.056,97.778,98.889,98.889,98.889,98.611,97.222,42.778,96.667,98.333,98.611,98.611,98.333,96.111,33.889,41.667,95,97.778,98.056,97.222,51.667,A
96.667,93.611,50.278,45,40.833,36.667,31.667,77.222,97.222,97.222,55.556,48.889,42.778,36.667,59.167,70,78.333,86.111,96.944,93.611,42.778,55.278,68.056,77.222,82.778,86.944,90,94.167,53.889,74.444,83.333,86.667,88.056,90,95.556,64.167,97.222,98.889,98.889,91.667,91.667,97.778,33.889,96.667,75,98.333,98.333,98.056,68.056,B
96.111,94.722,91.111,89.444,96.389,41.667,34.167,76.667,82.778,84.444,85.556,93.611,53.611,39.444,63.056,72.778,80.556,83.889,93.611,55.556,43.889,62.5,71.944,79.167,94.444,79.444,57.778,47.5,65.556,94.167,95.556,79.444,69.444,61.111,51.944,95.278,93.333,83.056,78.056,72.5,65,56.111,97.5,98.333,95.278,80.833,76.944,72.5,67.5,C
65.556,59.167,56.389,58.333,62.222,93.333,35.278,80,68.611,66.944,68.333,96.111,96.667,55.278,47.222,73.056,71.667,75.278,88.333,96.111,93.889,41.667,91.944,77.5,83.333,84.167,90.278,94.167,36.667,44.167,79.722,84.167,84.444,89.444,91.667,33.611,38.889,75,86.389,86.944,88.056,91.667,30.278,33.611,37.778,54.444,88.333,90,63.333,D
54.444,96.111,97.778,98.333,97.778,91.111,38.611,63.889,97.778,98.889,98.333,98.889,98.056,80,56.389,96.111,98.333,98.611,98.333,98.611,96.944,58.611,96.111,98.056,98.333,97.778,93.889,62.5,92.778,98.333,98.333,98.333,98.333,91.111,55,97.778,98.889,98.889,98.889,98.333,96.667,47.778,97.222,98.333,98.333,98.889,98.333,91.111,35.278,E
36.111,48.333,96.667,98.333,77.778,68.333,97.778,45.556,96.667,98.333,98.333,98.333,96.944,71.667,95,98.333,98.056,97.778,98.056,95,61.944,96.667,98.056,97.778,98.889,96.667,82.778,62.5,97.778,98.333,97.778,98.889,96.667,79.444,72.5,96.944,98.333,98.333,99.167,97.778,97.778,95.278,96.667,98.333,98.611,98.333,98.333,95.556,39.167,F
38.889,44.722,51.944,63.611,89.167,46.111,36.111,52.5,57.222,62.778,79.444,64.444,52.5,41.944,97.778,70,70.833,77.5,66.667,57.5,47.222,97.222,78.611,78.056,81.389,93.056,65.556,54.722,95.556,85.833,84.167,83.611,94.167,97.778,96.111,76.389,88.889,86.111,86.944,90,94.444,96.944,35.833,80,98.056,98.333,98.056,97.5,47.222,G
88.611,98.056,98.889,98.333,98.611,97.778,56.389,96.667,98.333,98.889,98.889,98.889,97.778,94.444,96.667,98.333,98.889,99.167,98.889,98.889,97.5,46.667,56.111,62.5,68.056,76.389,96.111,94.722,40.278,47.778,54.722,61.944,75.278,96.667,90.556,35.556,41.667,47.5,55.556,91.667,96.111,49.444,31.111,36.111,39.722,45.556,91.667,94.444,42.222,H
95.556,62.222,51.667,47.5,43.611,39.167,33.611,94.722,68.889,60.278,55.556,51.667,46.389,40,92.5,98.056,98.889,98.056,63.333,97.778,57.5,91.667,79.444,73.611,68.056,64.722,60.833,58.611,91.667,91.389,70.556,61.667,56.667,50,43.056,91.667,95.556,66.944,54.167,48.889,43.611,36.667,66.389,95.833,54.722,45.833,41.389,36.944,31.944,I
69.722,95,96.389,54.722,43.056,36.667,31.944,57.778,65.833,72.778,93.611,96.111,48.333,36.667,51.389,60.278,67.222,72.222,76.944,95.556,56.944,47.222,56.389,64.722,70.833,77.778,83.056,93.333,44.444,53.333,62.778,74.167,86.111,88.333,88.611,40.278,50.556,65,96.667,96.944,97.222,92.778,34.444,42.222,95,97.778,98.333,97.778,93.056,J
36.111,86.944,98.056,98.333,97.778,97.222,46.389,74.167,97.778,98.889,98.333,98.889,98.333,95.556,96.111,98.333,98.889,99.444,98.889,98.889,97.222,96.944,98.333,98.889,99.444,98.889,98.333,97.222,97.222,98.333,98.889,99.444,98.889,98.333,97.222,96.944,98.333,98.889,98.889,98.889,98.056,95,80,98.056,98.611,98.333,98.333,96.111,41.667,A
85.278,81.111,93.056,49.722,45.833,41.389,35.278,69.444,76.389,80.278,91.944,55.556,50.833,43.889,60.556,71.389,79.444,85,95.556,70.278,96.944,56.667,71.389,86.389,96.944,97.222,77.778,56.389,54.722,96.389,96.667,97.778,98.056,91.111,49.167,63.333,97.778,96.944,97.222,98.333,90,42.222,33.333,96.389,97.222,98.333,96.944,52.778,33.611,B
95.833,97.778,93.889,95.556,42.778,36.667,31.944,97.5,91.389,88.333,97.778,56.111,42.5,35.556,95.556,81.667,83.056,83.889,60.278,48.889,40,61.111,73.611,79.444,93.056,64.167,54.167,45,54.722,68.611,78.611,92.222,69.722,62.5,53.333,54.444,79.444,97.778,81.667,75.833,76.944,97.5,60,96.111,58.889,54.444,50.556,46.944,41.389,C
87.5,71.111,57.778,51.667,45,38.333,30.833,83.611,76.667,71.389,98.889,97.222,94.444,36.944,85.278,83.056,83.611,98.889,97.778,97.778,93.611,96.667,86.389,90,98.333,97.5,97.778,96.667,91.667,89.444,91.389,95.833,98.333,97.778,96.667,41.667,96.111,92.5,95.833,98.056,97.778,95.556,34.167,44.167,96.667,95.556,97.778,96.389,41.389,D
58.889,97.778,98.333,98.333,98.333,94.167,51.389,92.222,98.333,98.889,98.889,98.889,98.889,97.222,92.778,98.333,98.889,98.333,98.889,98.333,92.5,63.056,93.889,97.778,98.056,93.889,70.278,55.833,73.611,97.222,98.056,96.944,78.889,63.611,50.278,97.778,98.889,98.333,98.889,97.778,67.222,44.167,97.222,98.333,98.333,98.889,98.333,91.111,34.167,E
48.333,96.667,98.333,97.778,96.667,45.278,33.889,95.556,98.333,97.5,97.5,98.056,95,40,97.778,98.889,97.778,98.889,97.222,95,50.556,97.778,97.222,96.944,97.778,90.278,81.389,57.5,97.778,97.778,97.222,98.611,86.389,80,80,96.944,98.056,98.611,98.611,98.333,88.333,95,79.722,98.056,98.056,98.056,98.056,68.056,37.5,F
75,64.167,62.222,93.611,58.611,39.167,31.667,80,75.833,75.833,97.778,62.222,50,39.444,97.5,82.222,84.444,97.778,67.222,58.056,46.667,96.667,85.833,88.333,96.667,72.222,68.056,63.056,96.111,89.167,90.556,96.944,98.889,98.333,97.222,77.5,98.056,92.222,93.611,98.889,97.778,92.5,37.778,96.667,97.778,98.333,98.056,93.056,39.722,G
41.111,92.778,98.333,98.333,97.778,97.222,43.056,96.667,98.333,98.889,98.611,98.889,97.778,90.556,97.778,98.333,98.889,98.889,98.056,76.389,96.389,96.389,98.056,69.167,66.111,68.611,72.222,96.111,43.333,50,54.722,58.333,62.5,68.611,94.444,35.833,42.5,47.5,51.389,55.278,63.333,93.889,31.111,36.389,40.833,44.167,47.5,53.611,93.889,H
77.778,59.444,51.667,48.611,44.167,40.833,33.889,75,67.222,60.833,57.5,53.056,50,43.333,97.5,97.222,78.611,75,72.222,98.889,97.5,96.667,94.444,76.389,69.722,61.944,57.5,49.722,96.667,97.5,88.611,65.278,55,49.444,41.111,96.667,97.222,96.111,58.056,48.611,42.222,36.944,92.222,97.222,92.5,46.944,41.389,36.389,31.667,I
81.111,78.889,83.889,98.333,96.111,42.222,34.167,66.944,71.944,78.889,84.444,88.333,95,44.444,56.111,65.278,78.333,86.944,90.833,91.944,90.833,51.944,60.833,95.833,98.333,94.167,94.167,94.167,48.889,58.056,96.111,97.778,97.778,98.333,96.111,45,56.389,81.944,87.778,97.5,97.222,90.556,38.056,56.389,77.222,96.389,97.5,95.556,36.944,J
34.167,48.333,97.5,98.333,98.333,98.333,95.556,42.778,95.556,98.333,98.889,98.333,98.889,97.778,73.611,97.222,98.889,98.889,98.889,98.889,97.5,95.556,97.778,98.889,98.889,98.889,98.889,97.222,96.667,98.056,98.889,99.167,98.889,98.333,96.111,97.222,98.611,98.889,98.889,98.611,96.944,59.444,96.667,98.333,98.333,98.333,97.778,55.278,36.111,A
97.778,98.889,90.278,98.611,97.5,52.222,34.444,65.556,82.778,81.389,83.889,86.944,93.611,46.944,57.5,67.778,76.111,81.389,86.111,88.611,93.333,53.889,65.833,75.833,82.5,91.111,92.222,95.278,52.222,69.444,95,98.333,98.333,98.333,97.778,48.611,96.111,98.333,98.889,98.611,98.333,96.667,36.944,96.667,97.778,98.333,97.5,66.944,44.444,B
63.889,97.222,97.222,57.5,41.111,35.556,31.667,91.667,97.5,96.667,93.056,49.167,41.111,36.111,57.778,93.056,85.278,82.778,54.722,46.667,40.278,57.222,69.167,90.833,71.667,61.111,53.056,45.556,59.167,72.5,89.722,74.167,66.667,61.944,53.333,68.056,97.5,84.444,98.889,98.889,98.889,97.5,96.389,68.889,53.889,50.833,48.889,46.111,40.833,C
66.111,60.278,59.722,64.167,97.778,97.778,90.556,87.222,70.833,70.556,97.222,97.778,97.778,96.667,97.778,78.056,79.444,99.444,97.778,98.333,97.222,96.111,82.5,84.167,93.611,98.889,98.333,97.222,95,87.778,87.222,90.833,98.333,97.778,96.667,52.5,96.389,89.167,90.833,95.556,98.056,90.556,35.278,80,97.778,98.333,97.778,96.111,39.444,D
76.944,80.556,88.056,97.778,97.778,97.778,96.667,63.611,87.5,97.778,98.611,98.333,98.333,93.889,61.111,94.167,97.778,98.333,97.222,73.611,57.5,62.222,86.389,97.222,97.222,84.444,68.333,53.611,94.722,98.333,98.333,98.333,98.333,94.167,50.278,97.222,98.889,98.889,98.889,98.333,96.667,42.222,97.222,98.333,98.333,98.889,97.778,64.167,31.944,E
96.944,98.333,98.333,98.611,97.222,53.333,36.111,97.778,98.889,98.333,98.611,97.778,88.889,93.611,96.667,98.333,97.222,93.056,86.667,80.278,66.667,96.389,97.778,96.667,89.722,86.389,80.833,71.111,95,97.778,98.333,89.444,88.889,88.056,97.778,77.778,98.056,98.889,97.778,93.056,97.222,59.167,38.611,93.889,97.778,97.778,93.056,45.278,36.667,F
74.167,62.5,59.167,62.5,93.056,40.833,32.778,84.167,73.056,71.111,77.778,91.944,52.222,41.111,83.611,78.056,78.333,83.611,90,61.944,48.056,96.111,83.333,84.167,96.389,97.222,73.333,95,72.222,86.111,86.944,98.333,98.889,97.5,96.944,43.889,96.667,89.722,96.667,98.889,97.778,95,34.444,68.611,97.778,98.333,98.056,97.5,45,G
96.389,98.056,96.944,98.611,96.667,79.444,45.556,96.944,97.5,98.056,99.167,97.778,97.778,92.778,48.889,57.222,62.778,64.722,69.444,74.722,88.889,41.389,47.778,55,58.611,63.889,72.778,55.556,37.222,41.389,46.389,53.056,59.722,85.833,54.444,33.611,36.667,40.833,46.944,53.333,88.889,54.167,30,32.222,36.667,40.278,44.167,75,55.556,H
96.111,69.722,56.944,51.389,47.5,42.5,36.111,72.222,71.389,64.444,58.889,56.389,51.944,46.944,69.167,97.778,98.889,98.889,98.889,98.611,97.5,63.611,96.389,96.667,71.389,65,57.5,48.889,63.333,95.833,96.667,66.389,56.944,48.056,41.944,63.056,96.389,97.222,62.222,49.167,41.667,36.667,43.611,95.833,95.833,48.056,41.667,36.111,32.222,I
42.778,76.389,76.389,46.944,40.556,36.389,30.833,48.611,61.667,75.556,95,50,42.222,36.389,51.111,63.056,71.944,79.722,88.056,78.611,41.111,54.444,67.5,77.778,83.056,86.389,93.889,93.611,94.444,97.222,81.389,83.056,98.056,93.889,92.5,96.111,98.333,74.167,76.667,88.056,97.5,92.5,96.944,67.778,63.056,67.5,97.778,95.556,41.111,J
37.5,53.889,97.5,98.333,98.333,98.056,77.778,53.889,96.944,98.056,98.889,98.889,98.333,97.222,96.111,97.778,97.778,99.167,98.333,98.333,97.778,96.667,98.333,96.667,99.444,97.778,97.778,95.833,97.222,98.056,98.333,98.333,97.778,97.778,91.389,97.222,98.889,98.333,98.889,97.5,96.944,41.389,96.667,98.056,98.333,98.056,96.111,42.5,33.889,A
96.944,97.5,79.444,44.167,40,36.111,31.389,92.5,86.389,97.222,94.167,46.389,41.389,35.833,73.889,78.611,83.333,96.111,61.389,48.611,40.556,62.222,73.611,86.111,91.944,92.778,58.611,50.278,57.5,94.722,98.056,98.889,95.833,67.222,97.5,62.222,96.944,98.333,97.222,65.833,52.778,43.611,42.778,96.111,97.222,92.5,47.5,41.944,35.556,B
79.167,79.444,93.889,56.944,36.944,33.056,30.556,67.222,75.833,80.833,91.389,45.278,37.5,32.5,59.167,72.222,79.444,88.611,53.333,43.611,36.944,59.167,74.167,92.778,68.611,58.056,48.333,41.944,85.278,85.278,78.333,69.167,61.944,52.778,45,36.667,79.167,95.556,72.222,65.833,59.167,50.556,30.278,38.611,44.444,56.389,96.667,80.278,61.667,C
50,52.778,55.833,63.333,97.222,97.222,52.5,71.111,64.167,66.389,81.111,97.778,97.5,76.667,97.222,75,76.111,81.389,98.889,97.778,95,47.5,96.389,79.722,84.167,97.5,97.778,96.667,40.556,48.333,95.556,86.667,89.722,95.556,96.944,35.278,41.111,48.056,97.5,89.444,92.5,95,31.667,35.833,40,47.5,96.944,97.5,95,D
69.722,97.778,98.889,98.333,98.889,98.333,95.556,96.944,98.889,98.889,98.889,98.889,98.333,95,97.778,98.889,98.889,98.889,98.333,96.667,61.667,96.667,97.778,98.333,97.5,82.222,70.278,59.167,71.389,96.944,97.778,97.778,95,74.444,59.722,95.833,98.333,98.889,98.333,98.611,97.778,73.333,96.667,98.333,98.889,98.611,98.611,97.5,57.222,E
86.667,97.5,98.056,96.111,44.722,35.833,31.389,96.111,98.056,98.333,96.944,95.833,45.556,35.556,96.944,98.333,96.667,88.889,85.556,66.944,41.667,97.222,97.222,94.444,84.167,76.389,64.167,49.722,96.667,97.222,91.111,82.778,76.667,68.333,55.833,95.833,97.5,97.222,83.333,79.444,74.722,70.556,41.389,96.111,98.333,98.333,98.333,98.333,93.056,F
93.611,62.5,56.111,53.611,50.278,43.611,29.444,96.667,70.556,66.667,65,68.611,97.222,52.5,92.222,98.333,74.444,73.889,98.889,97.778,90.556,52.5,96.667,78.333,81.389,97.222,78.333,61.111,40,95,97.778,85,97.5,78.333,66.111,34.722,43.056,77.778,98.056,98.333,98.333,97.778,30.833,34.722,41.389,58.611,97.222,98.056,97.222,G
97.222,97.5,97.5,98.056,78.611,47.5,33.333,96.667,98.056,97.5,98.611,97.222,85,90.556,47.778,56.667,61.111,67.5,78.333,68.611,55.556,40.278,48.889,53.611,60.278,74.167,64.167,53.333,35.833,42.222,47.222,53.056,70.278,63.056,53.611,31.944,38.056,41.667,46.389,75.556,65.278,55.556,29.167,33.611,34.722,38.611,43.889,74.444,60.556,H
96.389,79.444,56.111,52.778,50,46.944,41.667,85.556,97.222,65,61.944,60.833,98.611,95.833,69.167,94.167,97.778,98.056,96.944,64.722,54.722,55.833,76.944,97.222,97.5,90,57.5,47.5,49.167,90.556,97.778,97.222,94.444,52.5,41.944,44.722,65.833,96.944,97.222,91.944,45.278,36.667,36.389,63.889,97.222,97.222,64.167,36.944,31.944,I
33.333,38.611,50.833,96.667,97.222,93.611,38.056,38.056,45.833,58.056,73.889,85.556,92.778,76.667,43.056,51.944,61.667,71.389,79.722,85,93.611,48.056,58.333,68.611,75.833,80.556,84.444,94.444,86.667,97.5,98.889,98.889,87.5,87.222,97.5,97.778,93.611,75,74.722,97.778,91.667,94.722,96.389,56.944,57.5,61.389,97.222,97.222,53.611,J
45,96.667,97.778,98.333,98.333,94.167,41.944,96.111,97.222,98.889,97.778,98.889,97.778,90.556,96.389,97.778,98.889,99.444,98.889,98.333,96.667,96.389,98.333,98.889,99.444,98.056,98.333,96.667,97.222,98.333,98.889,98.889,97.778,98.056,95.556,96.667,97.778,98.889,98.889,98.611,96.944,50.278,92.778,98.056,98.333,97.778,96.111,45.833,36.389,A
96.667,97.222,56.111,43.333,38.889,35.278,30.556,80,80.833,96.667,94.167,44.722,40.278,35,67.222,78.611,87.5,91.944,89.722,45.556,38.889,60,95,97.778,97.778,96.667,58.889,45.833,64.167,97.778,98.889,98.611,98.889,98.333,94.444,48.889,95.833,97.778,97.778,95.556,56.389,49.722,37.222,95.556,97.5,96.944,53.333,45.833,38.333,B
94.167,61.944,58.611,91.944,38.333,32.5,29.722,68.056,96.389,97.5,95.556,53.333,41.389,34.722,65.833,76.389,87.778,79.722,56.944,46.667,39.722,72.222,80.833,86.944,68.889,59.722,52.5,43.611,96.944,96.944,76.667,70.833,64.167,56.944,47.778,44.722,52.5,79.444,76.667,68.056,63.056,55.278,36.111,42.222,46.667,77.222,94.167,70.278,67.222,C
35.833,42.5,46.944,50.556,62.222,96.111,77.222,46.111,53.889,57.222,61.667,95.833,97.222,93.611,96.944,70.833,68.333,73.333,96.667,97.778,96.667,95.556,79.167,75.833,79.722,86.667,92.778,96.944,52.5,96.944,81.667,84.167,86.667,91.111,92.5,39.167,72.222,96.667,86.667,87.5,91.111,91.944,33.889,39.444,46.667,96.389,97.778,97.778,95.833,D
86.944,97.5,98.333,97.778,95.556,43.056,34.722,97.222,97.778,98.333,98.333,91.111,50.833,40.833,77.778,97.5,97.778,95.556,67.222,55.556,45.556,68.611,96.111,97.5,96.944,70,59.722,50,97.222,98.889,98.611,98.889,98.333,96.111,56.111,96.944,98.056,98.889,98.889,98.333,98.056,96.111,45.833,96.667,98.333,98.611,98.611,98.611,96.667,E
48.889,97.5,98.611,98.333,98.333,96.667,37.5,96.944,98.889,98.889,98.889,98.889,97.222,52.778,97.778,98.333,98.611,98.333,97.5,96.944,54.722,97.778,98.333,97.222,97.222,86.944,75,57.5,97.5,98.056,97.778,97.5,84.444,78.611,67.778,77.778,98.056,98.333,97.5,98.889,97.778,95.556,46.944,95.833,97.778,98.056,96.111,50.278,38.889,F
37.222,46.389,60,93.056,61.389,58.333,84.167,46.389,56.944,66.111,97.222,73.333,74.722,89.444,62.5,66.944,72.5,86.111,97.5,97.5,96.667,87.222,77.778,76.389,82.5,88.056,94.444,93.611,91.667,84.167,81.944,83.611,89.167,90,94.722,42.5,95.556,86.667,86.944,88.889,90.556,67.5,35,41.667,94.722,88.889,90,95.833,40.278,G
40.556,60,97.778,98.333,98.333,97.778,56.667,96.667,97.778,98.889,98.611,98.611,81.667,90.556,97.222,98.056,98.889,72.222,71.111,77.5,91.111,50.278,55,59.444,61.389,65.556,80,89.722,40.556,46.389,51.667,54.444,59.444,76.667,77.222,35,40,45.278,48.333,52.778,59.444,88.889,30.278,35,38.056,40.833,45.556,50.556,90.278,H
96.389,77.222,54.167,49.722,45.833,41.389,35,95.556,92.222,63.056,58.056,54.444,50.556,44.167,59.722,97.222,98.333,98.889,98.889,98.889,97.778,56.389,96.667,97.222,96.111,70.278,58.333,50.278,64.444,96.667,98.333,96.667,64.722,48.611,40.833,63.889,97.222,97.778,95,47.778,40.833,36.111,63.889,96.667,95.556,43.889,40,36.111,31.667,I
31.389,38.333,44.167,90.556,96.111,47.778,36.111,38.056,45,53.611,83.611,95.833,54.722,43.333,41.389,50.833,58.889,70.833,84.167,62.222,47.222,48.611,62.778,97.778,80.833,84.167,88.056,77.778,94.167,97.778,97.5,98.611,89.722,89.444,95.833,97.778,97.778,95.556,96.944,94.444,91.667,95.278,45.833,92.5,96.667,97.778,96.389,55,40,J
40.278,56.389,95.833,97.222,96.944,95.833,43.333,59.444,97.222,98.889,98.333,98.889,98.333,96.667,96.389,98.333,98.889,99.444,98.889,98.333,97.222,97.222,98.333,98.889,98.889,98.889,97.778,95,97.222,98.889,98.333,98.889,98.611,96.111,45,97.5,98.333,98.333,98.333,93.889,43.889,36.667,93.611,97.5,96.111,52.222,42.5,36.944,32.222,A
97.222,97.222,62.778,41.944,38.056,34.167,29.722,58.611,67.222,95.833,60.278,44.167,39.167,33.889,51.667,61.389,80.556,95.556,52.778,45.278,38.056,47.222,57.222,96.667,97.222,93.611,55,45,43.056,53.333,97.222,98.056,98.333,98.333,94.722,38.333,45,96.111,97.222,95,60.278,48.889,33.056,37.5,77.222,96.944,92.5,45.833,36.944,B
32.778,37.778,43.889,92.778,97.222,96.944,90,37.778,46.389,58.889,92.5,91.667,91.944,69.167,44.722,53.611,66.667,77.222,85.556,89.444,54.444,87.5,76.111,73.889,79.722,84.167,75.833,55.278,97.5,97.5,96.944,93.889,76.944,67.222,56.944,56.944,63.611,79.444,82.222,76.944,69.444,61.111,38.611,44.444,48.333,92.222,79.167,75.833,70.278,C
93.333,79.167,63.056,51.111,44.444,37.5,31.667,82.778,77.5,68.333,61.667,54.167,46.944,36.111,81.667,79.167,73.889,71.111,97.778,97.222,58.056,84.167,83.056,80.833,89.722,97.778,97.778,96.667,96.389,86.111,87.5,93.333,98.889,98.056,96.667,91.944,94.167,91.389,93.889,98.333,97.778,96.667,36.667,77.778,98.056,94.444,96.944,97.778,56.667,D
94.167,97.5,98.889,97.222,98.889,97.778,93.611,96.667,98.333,97.778,99.444,97.778,98.333,96.389,97.5,97.5,98.889,98.333,97.5,97.778,90.556,57.778,71.944,96.667,97.778,97.222,78.333,62.222,45.833,60,96.111,97.778,98.056,96.111,75.833,38.333,50.278,97.222,96.667,98.056,98.333,91.944,32.5,37.5,80,97.222,98.333,96.944,64.722,E
46.111,96.111,98.333,98.889,71.111,73.889,97.778,95.556,98.333,98.333,98.333,98.333,98.056,91.111,96.111,98.333,97.778,98.889,98.333,91.667,70.278,95.833,98.611,98.333,98.333,96.111,72.778,62.222,95.556,96.667,97.778,98.333,94.444,73.056,61.389,96.111,98.611,98.333,98.611,96.944,79.167,69.444,43.056,96.944,98.611,98.889,98.611,98.333,97.222,F
94.167,64.167,57.5,55.833,63.056,45.278,31.389,92.778,73.333,69.167,73.056,98.333,94.444,41.944,66.667,81.111,77.778,92.778,98.333,90.556,53.056,51.389,97.5,83.889,89.722,98.889,97.222,94.444,44.444,97.222,87.5,91.111,98.889,98.889,97.222,37.5,92.222,91.667,92.222,94.722,98.333,96.111,32.222,38.889,95.833,97.778,97.778,95.556,43.333,G
36.667,56.389,97.5,98.333,98.333,98.333,94.167,94.444,98.333,98.889,98.889,98.889,98.889,97.222,97.222,98.333,98.611,99.444,98.889,84.722,97.222,97.222,98.056,98.056,99.444,74.444,76.667,96.389,43.889,54.444,57.778,63.056,67.222,73.333,93.889,36.389,43.056,49.444,53.611,60.833,70.278,93.333,31.389,36.667,41.389,43.889,50.556,68.611,92.222,H
96.667,90.556,53.056,48.333,44.167,39.444,33.611,96.667,91.944,62.778,56.944,52.778,47.5,40.278,96.944,96.944,69.167,64.444,61.111,58.889,56.389,63.611,97.222,98.056,98.056,98.056,68.889,61.111,64.444,96.111,98.333,97.778,95.556,53.056,43.056,64.444,97.222,98.333,97.222,67.5,43.611,37.222,63.889,97.222,97.5,67.778,42.5,37.5,32.778,I
36.667,43.333,48.333,51.944,56.667,78.611,96.111,53.056,95.556,61.667,62.5,66.111,75.278,96.667,97.778,98.333,87.5,88.056,84.444,79.444,95.833,70.833,78.889,83.056,85.833,87.5,95,44.444,64.722,75.278,80.556,84.167,93.056,43.333,36.389,64.444,74.722,85.556,66.944,42.222,36.944,33.333,70.833,65.833,44.444,39.722,36.667,32.778,29.167,J
